Date,Area,"Sales, $ Volume","Sales, Number of",Average Sale Price,Lat,Lon
2/28/17,130 - Burien/Normandy,5742587,16,358911.69,47.449212,-122.274963
2/28/17,140 - West Seattle,42521495,71,598894.3,47.51571,-122.37164
2/28/17,16 - North Tacoma,2533775,6,422295.83,47.27736,-122.496501
2/28/17,21 - North Tacoma,1970000,5,394000,47.268957,-122.464522
2/28/17,22 - North Tacoma,3023050,9,335894.44,47.2625305,-122.4709374
2/28/17,23 - North Tacoma,2101500,7,300214.29,47.26391,-122.498172
2/28/17,25 - North Tacoma,2989250,10,298925,47.287317,-122.505895
2/28/17,360 - Skyway Area,6063500,14,433107.14,47.4857383,-122.2541974
2/28/17,380 - Southeast Seattle,25989650,44,590673.86,47.5338342,-122.2742252
2/28/17,385 - SODO/Beacon Hill,11002400,22,500109.09,47.549974,-122.289845
2/28/17,390 - Central Seattle,55970563,59,948653.61,47.606362,-122.305572
2/28/17,45 - South Tacoma,2503362,12,208613.5,47.2310107,-122.4918364
2/28/17,47 - South Tacoma,1931998,10,193199.8,47.214384,-122.481703
2/28/17,51 - South Tacoma,2288949,12,190745.75,47.217491,-122.44232
2/28/17,53 - South Tacoma,2204299,12,183691.58,47.170285,-122.442375
2/28/17,61 - Southeast Tacoma,1852950,9,205883.33,47.202831,-122.403734
2/28/17,67 - Parkland,2473100,9,274788.89,47.115402,-122.37525
2/28/17,68 - Parkland,2615499,12,217958.25,47.121699,-122.399641
2/28/17,69 - Parkland,2443050,12,203587.5,47.152973,-122.377546
2/28/17,700 - Queen Anne/Magno,35153023,34,1033912.44,47.643584,-122.357842
2/28/17,705 - Ballard/Greenlak,81484354,106,768720.32,47.686183,-122.329708
2/28/17,710 - North Seattle,56812685,62,916333.63,47.675515,-122.306207
2/28/17,740 - Everett/Mukilteo,39473820,107,368914.21,47.870178,-122.307482
2/28/17,94 - Browns Point,5360850,16,335053.13,47.298577,-122.396309
2/28/17,99 - Spanaway,2493965,9,277107.22,47.055303,-122.364094
5/31/17,130 - Burien/Normandy,11212275,29,386630.17,47.449212,-122.274963
5/31/17,140 - West Seattle,120838827,182,663949.6,47.51571,-122.37164
5/31/17,18 - North Tacoma,3430000,6,571666.67,47.281895,-122.487633
5/31/17,23 - North Tacoma,5480251,16,342515.69,47.26391,-122.498172
5/31/17,24 - North Tacoma,3117630,8,389703.75,47.2705094,-122.5108921
5/31/17,25 - North Tacoma,4931100,12,410925,47.287317,-122.505895
5/31/17,26 - Central Tacoma,4942500,17,290735.29,47.2437929,-122.502163
5/31/17,27 - Central Tacoma,3593500,14,256678.57,47.2545998,-122.4705399
5/31/17,31 - West Tacoma,3040901,9,337877.89,47.247825,-122.543174
5/31/17,360 - Skyway Area,9737099,21,463671.38,47.4857383,-122.2541974
5/31/17,380 - Southeast Seattle,59605500,86,693087.21,47.5338342,-122.2742252
5/31/17,385 - SODO/Beacon Hill,21971982,37,593837.35,47.549974,-122.289845
5/31/17,390 - Central Seattle,88871620,78,1139379.74,47.606362,-122.305572
5/31/17,51 - South Tacoma,3123199,14,223085.64,47.217491,-122.44232
5/31/17,53 - South Tacoma,4597740,19,241986.32,47.170285,-122.442375
5/31/17,59 - Southeast Tacoma,3027500,13,232884.62,47.216356,-122.434846
5/31/17,60 - Southeast Tacoma,3136950,13,241303.85,47.1960591,-122.4223787
5/31/17,61 - Southeast Tacoma,4274550,19,224976.32,47.202831,-122.403734
5/31/17,610 - Southeast Snohom,851000,2,425500,47.784385,-122.026153
